,author1,author2
772,贾三满,王海刚
773,贾三满,周毅
774,王海刚,周毅
775,钱俭,郑志锋
776,汪明峰,卢姗
777,汪明峰,袁贺
778,卢姗,袁贺
779,田美玲,刘嗣明
780,田美玲,寇圆圆
781,刘嗣明,寇圆圆
782,赵民,陈晨
783,赵向光,李志刚
784,运迎霞,杨德进
785,运迎霞,郭力君
786,杨德进,郭力君
787,黄亚平,王智勇
788,陈喆,王慧君
789,陈喆,陈未
790,王慧君,陈未
791,陈小卉,刘剑
792,桂明,徐承华
793,桂明,冯一军
794,徐承华,冯一军
795,张国华,叶芊
796,张国华,戴继锋
797,张国华,李凌岚
798,叶芊,戴继锋
799,叶芊,李凌岚
800,戴继锋,李凌岚
801,樊杰,蒋子龙
802,樊杰,陈东
803,蒋子龙,陈东
804,林坚,许超诣
805,黎云,李郇
806,张京祥,陈浩
807,张京祥,胡嘉佩
808,陈浩,胡嘉佩
809,张松,丁亮
810,吴良镛,吴唯佳
811,王引,袁方
812,赵渺希,王世福
813,赵渺希,李璐颖
814,王世福,李璐颖
815,尹红炜,孟宪忠
816,尹红炜,帅萍
817,孟宪忠,帅萍
818,杨晓凡,李雨桐
819,杨晓凡,贺启滨
820,杨晓凡,白明宇
821,杨晓凡,尤志斌
822,李雨桐,贺启滨
823,李雨桐,白明宇
824,李雨桐,尤志斌
825,贺启滨,白明宇
826,贺启滨,尤志斌
827,白明宇,尤志斌
828,赵一新,马清
829,赵一新,付晶燕
830,赵一新,徐泽州
831,赵一新,蔡润林
832,马清,付晶燕
833,马清,徐泽州
834,马清,蔡润林
835,付晶燕,徐泽州
836,付晶燕,蔡润林
837,徐泽州,蔡润林
838,王志涛,苏经宇
839,王志涛,刘朝峰
840,苏经宇,刘朝峰
841,田洁,刘晓虹
842,田洁,贾进
843,田洁,崔毅
844,刘晓虹,贾进
845,刘晓虹,崔毅
846,贾进,崔毅
847,李兵弟,郭龙彪
848,李兵弟,徐素君
849,李兵弟,李湉
850,郭龙彪,徐素君
851,郭龙彪,李湉
852,徐素君,李湉
853,邢天河,吴巍
854,杨保军,陈鹏
855,丁文静,朱喜钢
856,谢晖,周庆华
857,于红霞,栾晓辉
858,吴晓,王承慧
859,吴晓,滕珊珊
860,吴晓,杨凌茹
861,吴晓,黄潇仪
862,王承慧,滕珊珊
863,王承慧,杨凌茹
864,王承慧,黄潇仪
865,滕珊珊,杨凌茹
866,滕珊珊,黄潇仪
867,杨凌茹,黄潇仪
868,吕凯,郑路
869,柴彦威,申悦
870,柴彦威,塔娜
871,申悦,塔娜
872,魏书威,魏书精
873,魏书威,文正敏
874,魏书威,刘芳芳
875,魏书威,罗碧珍
876,魏书威,林兆武
877,魏书精,文正敏
878,魏书精,刘芳芳
879,魏书精,罗碧珍
880,魏书精,林兆武
881,文正敏,刘芳芳
882,文正敏,罗碧珍
883,文正敏,林兆武
884,刘芳芳,罗碧珍
885,刘芳芳,林兆武
886,罗碧珍,林兆武
887,赵万民,汪洋
888,王利伟,赵明
889,严盛虎,李宇
890,严盛虎,董锁成
891,严盛虎,柳泽
892,严盛虎,郑吉
893,李宇,董锁成
894,李宇,柳泽
895,李宇,郑吉
896,董锁成,柳泽
897,董锁成,郑吉
898,柳泽,郑吉
899,沈娜,孙晖
900,扈万泰,王剑锋
901,扈万泰,易德琴
902,王剑锋,易德琴
903,袁锦富,徐海贤
904,袁锦富,杨红平
905,徐海贤,杨红平
906,潘安,吕传廷
907,曹正伟,欧阳桦
908,严亚,董小玉
909,严亚,谢峰
910,董小玉,谢峰
911,黄翼,吴硕贤
912,宋彦,钟绍鹏
913,宋彦,章征涛
914,宋彦,陈燕萍
915,宋彦,丹尼尔·罗德里格斯
916,宋彦,布莱恩·莫顿
917,钟绍鹏,章征涛
918,钟绍鹏,陈燕萍
919,钟绍鹏,丹尼尔·罗德里格斯
920,钟绍鹏,布莱恩·莫顿
921,章征涛,陈燕萍
922,章征涛,丹尼尔·罗德里格斯
923,章征涛,布莱恩·莫顿
924,陈燕萍,丹尼尔·罗德里格斯
925,陈燕萍,布莱恩·莫顿
926,丹尼尔·罗德里格斯,布莱恩·莫顿
927,丁一,王红梅
928,丁一,沈明
929,丁一,王海云
930,丁一,刘光盛
931,丁一,程迎轩
932,丁一,卢阳禄
933,王红梅,沈明
934,王红梅,王海云
935,王红梅,刘光盛
936,王红梅,程迎轩
937,王红梅,卢阳禄
938,沈明,王海云
939,沈明,刘光盛
940,沈明,程迎轩
941,沈明,卢阳禄
942,王海云,刘光盛
943,王海云,程迎轩
944,王海云,卢阳禄
945,刘光盛,程迎轩
946,刘光盛,卢阳禄
947,程迎轩,卢阳禄
948,张泉,俞娟
949,张泉,庄建伟
950,俞娟,庄建伟
951,胡洋,金笠铭
952,庄建伟,相秉军
